scenario_id	domain	domain_index	brief	audience_id	audience_label	reference_image	hex_1	hex_2	hex_3	hex_4	hex_5	lab_L_1	lab_a_1	lab_b_1	lab_L_2	lab_a_2	lab_b_2	lab_L_3	lab_a_3	lab_b_3	lab_L_4	lab_a_4	lab_b_4	lab_L_5	lab_a_5	lab_b_5	annotator_a1	annotator_a2	annotator_a3	annotator_kappa	design_intent_tags	annotation_date	version
CRDS-WEB-0011	web_ui	0	A fitness tracker for general adults (30-49), evoking nostalgia; intended for digital-only display. Asymmetrical composition. Surrounding visual elements (typography, photography) are already established. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#0D273D	#1E567D	#5DA9D6	#DEE4EA	#F4F6FB	14.81	-1.18	-16.96	34.83	-4.01	-27.23	66.18	-10.66	-29.97	90.3	-0.9	-3.61	96.87	0.23	-2.63	A1	A2	A3	0.72	playful;reassuring;neutral;modern	03/04/2024	1
CRDS-WEB-0012	web_ui	0	A analytics dashboard for marketers for general adults (30-49), with a digital, futuristic look; intended for digital-only display. Type-heavy layout. Cultural connotations of certain colours should be considered for the target market. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#0C0C0C	#282828	#9F9A9A	#4582FF	#FFFFFF	3.32	-0.0	0.0	16.11	-0.0	0.0	64.01	1.82	0.65	56.53	21.94	-67.92	100.0	-0.0	0.0	A1	A2	A3	0.8	minimal;friendly;calm	01/04/2024	1
CRDS-WEB-0013	web_ui	0	A fitness tracker for general adults (30-49), in a light-mode-first treatment; viewed in low-light indoor settings. Mixed text and graphics. Category coding will be used and needs at least four distinct hues. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#1A402F	#327155	#82CFAF	#D4F7DA	#F7FBFF	23.97	-18.38	6.36	42.98	-27.51	9.5	77.56	-30.92	8.45	94.13	-16.68	10.18	98.43	-0.6	-2.37	A1	A2	A3	0.66	minimal;accessible;calm	01/04/2024	1
CRDS-WEB-0014	web_ui	0	A event-management platform for general adults (30-49), with a high-contrast monochromatic look; viewed in bright outdoor settings. Multi-column grid. The atmosphere should feel approachable and human. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0014.jpg	#FF9D00	#FE9600	#1A96B4	#87CBE2	#022F48	73.14	28.09	77.79	71.48	31.3	76.67	57.39	-21.11	-24.64	78.08	-15.62	-18.16	17.98	-3.74	-19.57	A1	A2	A3	0.75	energetic;neutral;friendly	01/04/2024	1
CRDS-WEB-0015	web_ui	0	A library-catalogue search for general adults (30-49), in a dark-mode-first treatment; must remain legible in small thumbnails. Dense layout with multiple data sections. Category coding will be used and needs at least four distinct hues. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0015.jpg	#0F233B	#245F82	#528FCD	#DEE6EC	#E2E9F2	13.35	1.31	-17.86	38.15	-6.79	-25.08	57.89	-1.07	-37.89	90.86	-1.55	-3.84	92.07	-0.66	-5.16	A1	A2	A3	0.69	calm;friendly;clarity	02/04/2024	1
CRDS-WEB-0016	web_ui	0	A civic-services portal for children (under 12), with a high-contrast monochromatic look; must remain legible in small thumbnails. Image-heavy layout. Surrounding visual elements (typography, photography) are already established. The colour palette should reflect the context, audience, and intent described above.	U01	Children (under 12)	images/CRDS-WEB-0016.jpg	#0F293B	#205A7B	#63A7D9	#DEE5F0	#EDF1FA	15.5	-3.03	-14.47	36.08	-6.95	-24.03	65.98	-7.4	-31.91	90.72	-0.28	-6.15	95.08	0.32	-4.79	A1	A2	A3	0.76	official;modern;calm	02/04/2024	1
CRDS-WEB-0017	web_ui	0	A music-streaming application for professional / b2b, with seasonal-summer overtones; must respect existing brand-colour guidelines. Asymmetrical composition. Long-form reading is the primary mode of consumption. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0017.jpg	#0C243D	#1F4B74	#5F92DB	#D8DFEA	#F0F0F0	13.69	0.82	-18.73	30.84	-0.27	-27.9	59.98	4.31	-42.4	88.6	-0.28	-6.18	94.8	-0.0	0.0	A1	A2	A3	0.76	trust;professional	02/04/2024	1
CRDS-WEB-0018	web_ui	0	A code-review interface for professional / b2b, evoking nostalgia; viewed in bright outdoor settings. Dense layout with multiple data sections. Category coding will be used and needs at least four distinct hues. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0018.jpg	#0D203A	#1C4C7D	#64A4D3	#CAD8E4	#E8EAF0	12.12	2.7	-19.1	31.57	2.16	-32.38	64.93	-7.34	-30.21	85.64	-2.35	-7.5	92.7	0.42	-3.13	A1	A2	A3	0.84	minimal;clarity	02/04/2024	1
CRDS-WEB-0019	web_ui	0	A analytics dashboard for marketers for professional / b2b, with a tactile, organic feeling; must remain legible in small thumbnails. Asymmetrical composition. The design will be reproduced across multiple touchpoints from print to mobile. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0019.jpg	#0F273E	#1D4674	#679CDA	#D0DBEA	#F2F6FF	14.95	-0.36	-17.42	29.16	2.72	-30.56	63.11	-0.06	-36.91	87.0	-0.79	-8.6	96.82	0.31	-4.77	A1	A2	A3	0.78	friendly;minimal;reassuring;professional	01/04/2024	1
CRDS-WEB-0020	web_ui	0	A logistics-tracking interface for general adults (30-49), in a playful, hand-drawn style; primarily viewed on mobile devices. Symmetrical composition. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#0D2A40	#275D83	#538BCD	#D5DCE2	#F4F4F4	16.06	-2.05	-17.08	37.66	-4.69	-26.45	56.79	1.46	-39.61	87.4	-1.23	-3.75	96.19	-0.0	0.0	A1	A2	A3	0.77	neutral;dynamic	01/04/2024	1
CRDS-WEB-0021	web_ui	0	A civic-services portal for professional / b2b, with a tactile, organic feeling; must respect existing brand-colour guidelines. Layout uses a clear visual hierarchy. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0021.jpg	#0E2540	#193C71	#5C9DD1	#EBEEF3	#FEFEFE	14.32	1.77	-19.82	25.65	7.76	-34.27	62.5	-5.77	-32.9	94.0	-0.09	-2.76	99.65	-0.0	0.0	A1	A2	A3	0.82	professional;clarity;modern	03/04/2024	1
CRDS-WEB-0022	web_ui	0	A cryptocurrency exchange for older adults (50+), in a light-mode-first treatment; intended as a fresh visual identity. Mixed text and graphics. Category coding will be used and needs at least four distinct hues. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0022.jpg	#002F70	#005DAA	#FFFFFF	#FFB200	#010101	20.84	14.27	-41.45	39.12	7.3	-47.61	100.0	-0.0	0.0	77.94	17.15	80.94	0.27	-0.0	0.0	A1	A2	A3	0.71	playful;official;accessible	01/04/2024	1
CRDS-WEB-0023	web_ui	0	A fitness tracker for general adults (30-49), evoking modernity; primarily viewed on mobile devices. Layout uses a clear visual hierarchy. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0023.jpg	#112643	#1E4E82	#5396CE	#E2E7EC	#DEE4ED	15.01	2.91	-20.8	32.56	3.11	-33.9	59.98	-4.57	-35.17	91.4	-0.75	-3.01	90.38	-0.33	-5.07	A1	A2	A3	0.76	modern;focused;playful	03/04/2024	1
CRDS-WEB-0024	web_ui	0	A language-learning platform for teens (13-17), using a soft pastel palette; must reproduce well in print. Strong use of negative space. Tone should feel premium without being intimidating. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)		#FFA900	#F38300	#2790B9	#86BBDC	#053345	75.85	21.85	79.55	65.98	36.59	72.51	55.97	-14.98	-29.67	73.4	-9.04	-22.02	19.35	-7.31	-15.39	A1	A2	A3	0.77	reassuring;playful;energetic	02/04/2024	1
CRDS-WEB-0025	web_ui	0	A appointment-booking site for general adults (30-49), respecting WCAG-AAA contrast; must work in monochrome fallback. Strong use of negative space. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#00325E	#004BA7	#F9F4F4	#FCBF07	#000000	20.4	3.9	-30.44	33.61	18.12	-54.74	96.56	1.66	0.59	80.73	9.16	81.99	0.0	0.0	0.0	A1	A2	A3	0.76	accessible;official	01/04/2024	1
CRDS-WEB-0026	web_ui	0	A job-search portal for older adults (50+), with a digital, futuristic look; primarily viewed on mobile devices. Dense layout with multiple data sections. The design will be reproduced across multiple touchpoints from print to mobile. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0026.jpg	#13334B	#1C507B	#5794DF	#D9E2EF	#EEF6FE	20.1	-2.63	-18.24	32.73	-1.25	-29.29	60.37	2.88	-44.05	89.57	-0.54	-7.36	96.51	-1.16	-4.75	A1	A2	A3	0.75	clarity;dynamic;neutral;official	02/04/2024	1
CRDS-WEB-0027	web_ui	0	A team-messaging client for professional / b2b, with a strong photographic anchor; intended as a fresh visual identity. Single hero anchor with supporting elements. Status indicators (success, warning, error) must be clearly distinguishable. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B		#0E2C44	#23547E	#5BA3D1	#DCE5EF	#F7F8F9	17.05	-1.59	-18.29	34.4	-1.58	-28.5	64.18	-9.31	-30.3	90.54	-1.12	-5.89	97.53	-0.15	-0.59	A1	A2	A3	0.75	trust;professional;neutral	01/04/2024	1
CRDS-WEB-0028	web_ui	0	A calendar and scheduling app for teens (13-17), with a tactile, organic feeling; must work in monochrome fallback. Layout uses a clear visual hierarchy. The palette should feel current but should not chase fleeting trends. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U02	Teens (13-17)	images/CRDS-WEB-0028.jpg	#0B203C	#23497B	#5C99D1	#D7DEE5	#F7F7F7	12.16	3.2	-20.46	30.76	4.46	-32.39	61.36	-3.51	-34.67	88.13	-1.04	-4.24	97.23	-0.0	0.0	A1	A2	A3	0.84	accessible;focused;professional;official	03/04/2024	1
CRDS-WEB-0029	web_ui	0	A newspaper website for professional / b2b, with seasonal-spring overtones; primarily viewed on desktop screens. Asymmetrical composition. The design will be reproduced across multiple touchpoints from print to mobile. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B		#0E2441	#1D5170	#61A3D8	#E5E8EE	#F8FBFF	14.04	2.94	-20.97	32.51	-5.99	-22.77	64.72	-5.91	-33.33	91.93	0.09	-3.26	98.5	-0.27	-2.26	A1	A2	A3	0.88	clarity;professional;calm	01/04/2024	1
CRDS-WEB-0030	web_ui	0	A customer-support helpdesk for general adults (30-49), evoking nostalgia; the design must support light and dark themes. Image-heavy layout. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0030.jpg	#102B4C	#21487B	#62AEDF	#DDE4EE	#F4F4F4	17.27	2.9	-23.39	30.37	4.79	-33.03	68.16	-9.63	-31.84	90.34	-0.47	-5.67	96.19	-0.0	0.0	A1	A2	A3	0.88	trust;minimal;clarity	03/04/2024	1
CRDS-WEB-0031	web_ui	0	A civic-services portal for professional / b2b, with a digital, futuristic look; must work in monochrome fallback. Dense layout with multiple data sections. Brand identity is established and the palette must respect existing guidelines. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0031.jpg	#FFA50B	#FF8F00	#24B3C0	#8FC3EB	#042942	74.95	24.02	77.71	70.11	35.3	75.88	66.84	-31.0	-16.94	76.6	-7.04	-25.21	15.51	-1.92	-19.35	A1	A2	A3	0.83	playful;dynamic	03/04/2024	1
CRDS-WEB-0032	web_ui	0	A warehouse-management dashboard for mixed / accessibility-first, with a luxurious metallic accent; must work in monochrome fallback. Single hero anchor with supporting elements. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. The colour palette should reflect the context, audience, and intent described above.	U07	Mixed / accessibility-first	images/CRDS-WEB-0032.jpg	#142C4C	#1C4A82	#5C9DD2	#DDE2E6	#FBFBFB	17.79	2.92	-22.55	31.24	5.5	-36.0	62.54	-5.46	-33.39	89.62	-0.94	-2.53	98.62	-0.0	0.0	A1	A2	A3	0.76	official;calm;dynamic;focused	01/04/2024	1
CRDS-WEB-0033	web_ui	0	A event-management platform for older adults (50+), in a playful, hand-drawn style; must respect existing brand-colour guidelines. Type-heavy layout. Status indicators (success, warning, error) must be clearly distinguishable. The selected colours will be used as the foundation for the broader design system. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0033.jpg	#053566	#095FA3	#FDFDFD	#FFCF0B	#000000	22.08	5.83	-32.97	39.39	3.54	-43.02	99.31	-0.0	0.0	84.95	2.23	84.77	0.0	0.0	0.0	A1	A2	A3	0.76	official;accessible;minimal	02/04/2024	1
CRDS-WEB-0034	web_ui	0	A language-learning platform for young adults (18-29), with a high-contrast monochromatic look; viewed in low-light indoor settings. Layout uses a clear visual hierarchy. Category coding will be used and needs at least four distinct hues. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-WEB-0034.jpg	#1807EE	#A900FC	#F7068C	#FF5C04	#0A081B	30.68	74.17	-100.95	46.26	86.31	-82.6	53.82	83.37	-4.87	60.72	59.28	69.77	2.87	4.43	-10.4	A1	A2	A3	0.66	energetic;official	03/04/2024	1
CRDS-WEB-0035	web_ui	0	A podcast-listening application for general adults (30-49), evoking modernity; must work in monochrome fallback. Strong use of negative space. Status indicators (success, warning, error) must be clearly distinguishable. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0035.jpg	#020202	#272626	#9C7254	#CDA930	#F9F7EB	0.55	-0.0	0.0	15.26	0.46	0.16	51.55	12.69	23.1	70.57	1.22	63.06	97.09	-1.39	6.0	A1	A2	A3	0.77	minimal;accessible;dynamic	01/04/2024	1
CRDS-WEB-0036	web_ui	0	A newspaper website for general adults (30-49), respecting WCAG-AAA contrast; intended for digital-only display. Dense layout with multiple data sections. The palette should feel current but should not chase fleeting trends. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#122A46	#184373	#61A4CE	#D3E0F2	#E9EEFA	16.63	1.45	-20.3	27.97	3.61	-31.84	64.6	-9.49	-27.96	88.72	-0.83	-10.24	94.04	0.55	-6.35	A1	A2	A3	0.83	modern;trust;dynamic;professional	01/04/2024	1
CRDS-WEB-0037	web_ui	0	A team-messaging client for professional / b2b, with seasonal-autumn overtones; primarily viewed on mobile devices. Layout uses a clear visual hierarchy. The design will be reproduced across multiple touchpoints from print to mobile. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B		#193A29	#2A6249	#74C8A5	#E1F3E5	#F0F4FA	21.55	-16.95	6.93	37.31	-25.07	8.74	74.66	-33.6	9.6	94.21	-8.45	4.72	96.05	-0.24	-3.34	A1	A2	A3	0.76	official;energetic;reassuring	04/04/2024	1
CRDS-WEB-0038	web_ui	0	A cryptocurrency exchange for general adults (30-49), with seasonal-spring overtones; intended as a fresh visual identity. Symmetrical composition. The work must hold up against busy backgrounds in the deployment context. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0038.jpg	#0D2642	#204D7C	#519DD5	#D1DAE8	#F6F6F6	14.76	1.71	-20.52	31.96	1.7	-31.12	62.22	-6.65	-35.59	86.76	-0.34	-7.89	96.88	-0.0	0.0	A1	A2	A3	0.78	neutral;clarity;calm	02/04/2024	1
CRDS-WEB-0039	web_ui	0	A calendar and scheduling app for professional / b2b, with a tactile, organic feeling; primarily viewed on desktop screens. Dense layout with multiple data sections. Category coding will be used and needs at least four distinct hues. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U06	Professional / B2B	images/CRDS-WEB-0039.jpg	#003566	#0B63AD	#F9EEEE	#FFBD0B	#000000	21.96	5.37	-33.16	41.23	5.11	-45.99	94.93	3.69	1.32	80.56	11.51	81.63	0.0	0.0	0.0	A1	A2	A3	0.8	accessible;neutral;energetic	02/04/2024	1
CRDS-WEB-0040	web_ui	0	A smart-home control panel for older adults (50+), with a strong photographic anchor; must work in monochrome fallback. Layout uses a clear visual hierarchy. The palette should feel current but should not chase fleeting trends. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)	images/CRDS-WEB-0040.jpg	#112E41	#20507B	#609ED7	#D2E3F1	#FDFDFE	17.71	-3.64	-15.17	32.86	-0.65	-29.08	63.21	-3.63	-35.11	89.39	-2.9	-8.73	99.33	0.18	-0.48	A1	A2	A3	0.79	energetic;trust;focused;neutral	01/04/2024	1
CRDS-WEB-0041	web_ui	0	A patient portal for general adults (30-49), with seasonal-summer overtones; the design must support light and dark themes. Type-heavy layout. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)		#262A2D	#4E5760	#626A74	#E1E2E2	#F4F5F6	16.78	-0.99	-2.56	36.52	-1.38	-6.39	44.47	-0.78	-6.62	89.81	-0.34	-0.12	96.49	-0.15	-0.6	A1	A2	A3	0.75	focused;modern	03/04/2024	1
CRDS-WEB-0042	web_ui	0	A pharmacy-refill application for older adults (50+), with seasonal-autumn overtones; viewed in bright outdoor settings. Symmetrical composition. Long-form reading is the primary mode of consumption. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)		#181818	#191919	#A1A1A1	#4496FF	#FFFFFF	8.25	-0.0	0.0	8.76	-0.0	0.0	66.24	-0.0	0.0	61.88	9.73	-59.34	100.0	-0.0	0.0	A1	A2	A3	0.74	modern;minimal;friendly	01/04/2024	1
CRDS-WEB-0043	web_ui	0	A expense-tracking application for older adults (50+), in a vibrant neon style; must reproduce well on backlit large-format displays. Symmetrical composition. Accessibility is a key requirement and a colour-blind-friendly palette is preferred. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)		#00416E	#0A5CA0	#FCF1F1	#FFC000	#000000	26.46	0.53	-31.1	38.3	4.3	-42.98	95.98	3.68	1.32	81.27	9.87	83.2	0.0	0.0	0.0	A1	A2	A3	0.66	playful;official	01/04/2024	1
CRDS-WEB-0044	web_ui	0	A pharmacy-refill application for general adults (30-49), in a dark-mode-first treatment; viewed in low-light indoor settings. Strong use of negative space. Tone should feel premium without being intimidating. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0044.jpg	#112849	#1E5B7D	#61A8D1	#E0EAF4	#EFEFEF	16.09	3.99	-23.21	36.44	-7.12	-24.7	65.86	-10.78	-27.68	92.23	-1.44	-5.98	94.45	-0.0	0.0	A1	A2	A3	0.84	accessible;professional;trust	03/04/2024	1
CRDS-WEB-0045	web_ui	0	A cryptocurrency exchange for mixed / accessibility-first, evoking modernity; must reproduce well in print. Symmetrical composition. The colour palette should reflect the context, audience, and intent described above.	U07	Mixed / accessibility-first	images/CRDS-WEB-0045.jpg	#113146	#205B7F	#5A9CD4	#E0EAF2	#FBFCFD	19.05	-3.67	-16.51	36.59	-6.07	-25.68	62.25	-4.68	-34.96	92.18	-1.82	-5.02	98.92	-0.15	-0.59	A1	A2	A3	0.84	professional;minimal;accessible;modern	01/04/2024	1
CRDS-WEB-0046	web_ui	0	A tax-filing assistant for older adults (50+), in a strict geometric style; must reproduce well on backlit large-format displays. Strong use of negative space. Surrounding visual elements (typography, photography) are already established. Annotators should consider how the palette will perform across light and dark themes. The colour palette should reflect the context, audience, and intent described above.	U05	Older adults (50+)		#0F2A4E	#1C4D77	#60A0D4	#E8EEF4	#FAFAFA	17.02	4.34	-25.14	31.55	-0.88	-28.67	63.66	-5.68	-32.76	93.81	-0.89	-3.59	98.27	-0.0	0.0	A1	A2	A3	0.83	dynamic;clarity	01/04/2024	1
CRDS-WEB-0047	web_ui	0	A customer-support helpdesk for children (under 12), using a soft pastel palette; must reproduce well in print. Multi-column grid. The atmosphere should feel approachable and human. The colour palette should reflect the context, audience, and intent described above.	U01	Children (under 12)	images/CRDS-WEB-0047.jpg	#1B4531	#326E57	#7BC3A0	#DBF3E0	#F6F6F6	25.89	-20.24	7.75	42.03	-25.55	6.96	73.4	-30.32	10.55	93.69	-11.33	6.5	96.88	-0.0	0.0	A1	A2	A3	0.71	friendly;accessible	01/04/2024	1
CRDS-WEB-0048	web_ui	0	A cryptocurrency exchange for young adults (18-29), with a clean editorial layout; must reproduce well in print. Single hero anchor with supporting elements. The design will be reproduced across multiple touchpoints from print to mobile. The brief is intended to capture the spirit of the scenario, not its exact appearance. The colour palette should reflect the context, audience, and intent described above.	U03	Young adults (18-29)	images/CRDS-WEB-0048.jpg	#122B4D	#1C5D82	#50A2D5	#D1DCE6	#F6F8FD	17.42	3.68	-23.82	37.27	-6.73	-26.46	63.63	-9.61	-33.41	87.22	-1.77	-6.16	97.56	0.23	-2.62	A1	A2	A3	0.75	official;minimal;trust	02/04/2024	1
CRDS-WEB-0049	web_ui	0	A smart-home control panel for general adults (30-49), in a strict geometric style; viewed in low-light indoor settings. Layout uses a clear visual hierarchy. The palette should feel current but should not chase fleeting trends. Consider how the palette interacts with the dominant photography in the layout. The colour palette should reflect the context, audience, and intent described above.	U04	General adults (30-49)	images/CRDS-WEB-0049.jpg	#004070	#034A9D	#FFFFFF	#FFC200	#000000	26.26	2.1	-32.69	32.59	14.76	-50.37	100.0	-0.0	0.0	81.76	8.83	83.53	0.0	0.0	0.0	A1	A2	A3	0.85	minimal;clarity;official;accessible	02/04/2024	1
